"","nombre","categoryName","address","location.lat","location.lng","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","day"
"95","Mercado De Las Praderas","Market","Yarquil 218, Cercado de Lima 15009, Peru",-12.0336931,-76.9626433,NA,NA,NA,NA,0,3,10,20,30,41,56,56,35,24,24,24,21,16,12,7,0,0,NA,NA,"Tu"
"96","Mercado El Bosque","Market","Av. Proceres de la Independencia 268, Cercado de Lima 15404, Peru",-12.0305244,-77.0128163,NA,NA,0,0,3,11,25,37,42,46,52,51,39,26,25,32,31,17,5,1,NA,NA,NA,NA,"Tu"
"97","Mercado Elio","Market","Reynaldo Saavedra Pinón 2674, Cercado de Lima 15081, Peru",-12.0545947,-77.0711829,NA,NA,NA,NA,NA,0,0,0,26,33,36,36,36,33,33,30,30,26,0,0,0,0,0,NA,"Tu"
"98","Mercado Familias Unidas","Market","Ramon Rodriguez Lima, San Juan de Miraflores 15801, Peru",-12.1604042,-76.9650063,NA,NA,NA,NA,NA,0,0,34,55,59,60,56,36,19,12,10,8,0,0,0,0,0,0,NA,"Tu"
"99","MERCADO FLORA TRISTAN","Market","Flora Tristan 793-845, Cercado de Lima 15818, Peru",-12.1899311,-76.9224535,NA,NA,NA,NA,NA,0,16,28,40,52,60,56,48,40,32,28,24,0,0,0,0,0,0,NA,"Tu"
"100","Mercado La Aurora","Market","Avenida Emancipación 668 Jirón Cañete 473, Jirón Huancavelica 661, Cercado de Lima 15001, Peru",-12.0451873,-77.0390272,NA,NA,NA,NA,NA,0,18,35,50,60,65,69,66,55,44,42,45,44,32,0,0,0,0,NA,"Tu"
"101","Mercado La Inmaculada","Market","Av. Materiales 1973, Cercado de Lima 15081, Peru",-12.0410888,-77.0674417,NA,NA,NA,NA,0,14,22,21,28,39,41,32,22,17,16,16,16,14,11,0,0,0,NA,NA,"Tu"
"102","Mercado La Merced","Market","Jirón Pérez de Tudela, Cercado de Lima 15081, Peru",-12.0359805,-77.0663448,NA,NA,NA,NA,NA,0,15,26,32,28,21,17,16,14,9,6,10,0,0,0,0,0,0,NA,"Tu"
"103","Mercado La Ponderosa","Market","Av. Universitaria 524, Cercado de Lima 15086, Peru",-12.0850112,-77.0827117,NA,NA,NA,NA,NA,0,8,21,42,66,85,89,75,52,29,0,0,0,0,0,0,0,0,NA,"Tu"
"104","Mercado Los Incas","Market","Independencia 15332, Peru",-11.9802012,-77.0583666,NA,NA,NA,NA,NA,0,16,31,44,52,57,62,63,57,51,58,79,96,92,66,0,0,0,NA,"Tu"
